#Temperature:	2.00 K
#BIAS (mV) 	 Current (nA) 	 LIX (a.u.)
-24.874500	-0.399827	0.216508
-24.750400	-0.394999	0.196517
-24.624800	-0.390732	0.211753
-24.500100	-0.396086	0.231435
-24.375000	-0.394728	0.195955
-24.249800	-0.388527	0.212740
-24.125300	-0.388951	0.207662
-23.999600	-0.388988	0.204898
-23.875600	-0.389586	0.207104
-23.749300	-0.382551	0.204382
-23.625800	-0.379426	0.218331
-23.499100	-0.382270	0.208085
-23.376000	-0.380026	0.223583
-23.248900	-0.379620	0.203348
-23.126200	-0.376343	0.195633
-22.998800	-0.373965	0.203038
-22.876300	-0.371882	0.229937
-22.748700	-0.366304	0.215237
-22.626300	-0.369251	0.208513
-22.498700	-0.368246	0.199504
-22.376300	-0.364945	0.224363
-22.248700	-0.363012	0.225144
-22.126200	-0.359351	0.210894
-21.998800	-0.360994	0.221436
-21.876100	-0.358626	0.211837
-21.749000	-0.356971	0.216779
-21.625900	-0.358839	0.203157
-21.499200	-0.352946	0.220872
-21.375700	-0.349862	0.205235
-21.249400	-0.347590	0.218100
-21.125500	-0.351761	0.228369
-20.999700	-0.352881	0.222041
-20.875200	-0.343558	0.212456
-20.749900	-0.341337	0.199886
-20.624900	-0.342302	0.202373
-20.500200	-0.341887	0.221069
-20.374700	-0.337023	0.208330
-20.250500	-0.332510	0.187482
-20.124400	-0.335525	0.220929
-20.000700	-0.333765	0.200407
-19.874200	-0.331082	0.209884
-19.750900	-0.329397	0.189683
-19.624000	-0.324959	0.204959
-19.501100	-0.322712	0.224725
-19.373800	-0.320850	0.198340
-19.251200	-0.322389	0.215318
-19.123700	-0.324123	0.204429
-19.001300	-0.318142	0.219641
-18.873700	-0.314657	0.224472
-18.751300	-0.312599	0.200570
-18.623700	-0.311903	0.216153
-18.501200	-0.310040	0.213370
-18.373800	-0.308213	0.232541
-18.251100	-0.311755	0.221029
-18.123900	-0.308675	0.209289
-18.001000	-0.302058	0.207880
-17.874100	-0.299894	0.224957
-17.750800	-0.300383	0.232139
-17.624300	-0.303585	0.230295
-17.500600	-0.298307	0.204420
-17.374600	-0.295162	0.219492
-17.250300	-0.296823	0.203013
-17.124800	-0.294542	0.215913
-17.000000	-0.290450	0.228087
-16.875100	-0.286661	0.208483
-16.749800	-0.287553	0.216141
-16.625400	-0.288149	0.226408
-16.499500	-0.283586	0.218440
-16.375600	-0.282421	0.214613
-16.249200	-0.280456	0.201722
-16.125900	-0.279025	0.223155
-15.999000	-0.276127	0.229476
-15.876000	-0.272981	0.206992
-15.748900	-0.274684	0.228219
-15.626200	-0.272134	0.207725
-15.498800	-0.269217	0.224861
-15.376300	-0.269134	0.212963
-15.248700	-0.267859	0.222382
-15.126300	-0.265335	0.226645
-14.998700	-0.261632	0.225936
-14.876300	-0.260864	0.233172
-14.748800	-0.261924	0.207627
-14.626200	-0.256926	0.225088
-14.498900	-0.253017	0.213179
-14.376100	-0.251208	0.206414
-14.249000	-0.251546	0.214468
-14.125900	-0.253794	0.223165
-13.999200	-0.252478	0.211944
-13.875600	-0.249807	0.236900
-13.749500	-0.241709	0.218210
-13.625400	-0.235941	0.205908
-13.499700	-0.239927	0.196274
-13.375100	-0.246453	0.230456
-13.250000	-0.242602	0.228192
-13.124900	-0.232111	0.227237
-13.000300	-0.228085	0.204988
-12.874600	-0.231988	0.213695
-12.750500	-0.233371	0.238867
-12.624300	-0.228954	0.228552
-12.500800	-0.224223	0.208165
-12.374100	-0.223764	0.218611
-12.251000	-0.224682	0.220222
-12.123900	-0.221922	0.227925
-12.001100	-0.220076	0.233422
-11.873800	-0.216248	0.227875
-11.751200	-0.211427	0.242845
-11.623700	-0.210851	0.227233
-11.501300	-0.212947	0.224570
-11.373700	-0.214825	0.225179
-11.251300	-0.208709	0.215914
-11.123700	-0.201866	0.234586
-11.001200	-0.201082	0.223592
-10.873800	-0.201505	0.231828
-10.751100	-0.200808	0.228806
-10.624000	-0.198630	0.218065
-10.500900	-0.200266	0.231907
-10.374200	-0.198238	0.228832
-10.250700	-0.190370	0.225123
-10.124400	-0.187481	0.227043
-10.000500	-0.190140	0.224141
-9.874640	-0.191839	0.235284
-9.750230	-0.187383	0.220825
-9.624910	-0.182617	0.216851
-9.499950	-0.181947	0.234450
-9.375180	-0.181540	0.224819
-9.249680	-0.177898	0.225465
-9.125450	-0.176410	0.231024
-8.999430	-0.175411	0.228937
-8.875690	-0.174128	0.226568
-8.749190	-0.169765	0.233981
-8.625910	-0.168337	0.230973
-8.499000	-0.168299	0.234893
-8.376080	-0.165848	0.243901
-8.248850	-0.162825	0.243298
-8.126210	-0.161869	0.235814
-7.998750	-0.161209	0.226290
-7.876280	-0.157240	0.237235
-7.748700	-0.153955	0.245985
-7.626300	-0.153872	0.239829
-7.498710	-0.153723	0.238098
-7.376260	-0.150138	0.245022
-7.248780	-0.146587	0.237200
-7.126160	-0.146511	0.242789
-6.998910	-0.145390	0.244964
-6.876010	-0.141027	0.241531
-6.749080	-0.138087	0.233846
-6.625820	-0.137945	0.231259
-6.499290	-0.137442	0.248469
-6.375590	-0.133626	0.245092
-6.249540	-0.129574	0.234904
-6.125330	-0.129065	0.256159
-5.999800	-0.128120	0.253107
-5.875060	-0.124931	0.254406
-5.750080	-0.122184	0.249687
-5.624790	-0.121324	0.252799
-5.500350	-0.119516	0.250048
-5.374520	-0.115240	0.245301
-5.250600	-0.112873	0.248881
-5.124280	-0.113071	0.248690
-5.000830	-0.111708	0.263506
-4.874070	-0.108306	0.260782
-4.751020	-0.105437	0.264938
-4.623900	-0.103656	0.269025
-4.501170	-0.102376	0.272546
-4.373780	-0.099751	0.270646
-4.251260	-0.097805	0.273943
-4.123710	-0.096537	0.271254
-4.001300	-0.093543	0.267806
-3.873700	-0.090478	0.268965
-3.751280	-0.088748	0.278547
-3.623750	-0.087946	0.285515
-3.501200	-0.085254	0.287052
-3.373860	-0.081843	0.282693
-3.251070	-0.080153	0.289612
-3.124010	-0.078454	0.289701
-3.000890	-0.075174	0.296901
-2.874210	-0.071972	0.295566
-2.750680	-0.070190	0.301650
-2.624440	-0.069110	0.317233
-2.500430	-0.065846	0.317581
-2.374700	-0.062006	0.315162
-2.250160	-0.059449	0.324790
-2.124980	-0.057011	0.329524
-1.999890	-0.054115	0.335352
-1.875250	-0.051252	0.338425
-1.749620	-0.048812	0.351736
-1.625510	-0.045944	0.356766
-1.499370	-0.042292	0.366042
-1.375750	-0.038749	0.370394
-1.249140	-0.035899	0.387176
-1.125960	-0.032754	0.397891
-0.998956	-0.029618	0.402539
-0.876120	-0.026068	0.416707
-0.748816	-0.022881	0.434177
-0.626234	-0.019115	0.434788
-0.498729	-0.015199	0.434129
-0.376293	-0.011462	0.443027
-0.248699	-0.007920	0.461504
-0.126295	-0.004073	0.457917
0.001274	-0.000257	0.453482
0.123761	0.003663	0.464460
0.251190	0.007587	0.470166
0.373872	0.011465	0.469767
0.501053	0.015044	0.458147
0.624033	0.018864	0.455662
0.750870	0.022969	0.452523
0.874238	0.026805	0.444709
1.000650	0.030069	0.434033
1.124480	0.033762	0.429078
1.250400	0.037798	0.420558
1.374740	0.041377	0.420569
1.500130	0.044238	0.411073
1.625010	0.047477	0.399476
1.749850	0.051284	0.389179
1.875280	0.054110	0.380851
1.999590	0.057076	0.362696
2.125540	0.060613	0.369558
2.249340	0.064386	0.359024
2.375780	0.066999	0.356132
2.499120	0.069203	0.349714
2.625980	0.072244	0.345469
2.748940	0.075178	0.341087
2.876140	0.077109	0.326332
2.998800	0.080344	0.322992
3.126240	0.084435	0.324805
3.248720	0.087756	0.328157
3.376300	0.088284	0.310739
3.498700	0.089779	0.303136
3.626290	0.092914	0.302545
3.748730	0.096238	0.299301
3.876230	0.098248	0.298251
3.998820	0.100736	0.286561
4.126110	0.104778	0.297702
4.248970	0.106759	0.297903
4.375940	0.106867	0.280524
4.499160	0.109024	0.278723
4.625730	0.112964	0.273423
4.749380	0.116701	0.270518
4.875490	0.117582	0.264252
4.999640	0.119289	0.269393
5.125230	0.122892	0.269052
5.249910	0.125030	0.266414
5.374960	0.125845	0.261448
5.500180	0.128127	0.257793
5.624680	0.131431	0.260882
5.750450	0.134827	0.240976
5.874430	0.136012	0.255118
6.000690	0.138339	0.250296
6.124190	0.141442	0.248633
6.250910	0.143406	0.266676
6.374000	0.144526	0.239675
6.501080	0.147545	0.253855
6.623850	0.150265	0.254191
6.751210	0.151139	0.244992
6.873750	0.152666	0.244049
7.001280	0.156929	0.240281
7.123700	0.160646	0.250280
7.251300	0.160942	0.237684
7.373710	0.161103	0.245298
7.501260	0.164097	0.246645
7.623780	0.167790	0.234430
7.751160	0.167987	0.232033
7.873910	0.170256	0.245345
8.001010	0.174970	0.252579
8.124080	0.178573	0.248401
8.250820	0.177926	0.244535
8.374290	0.176957	0.235655
8.500590	0.179719	0.251920
8.624540	0.182710	0.233770
8.750330	0.184060	0.244126
8.874800	0.187385	0.247661
9.000060	0.190579	0.249299
9.125080	0.191987	0.246943
9.249790	0.190007	0.251645
9.375350	0.191274	0.245708
9.499520	0.194755	0.236832
9.625600	0.197132	0.229281
9.749280	0.198547	0.236215
9.875830	0.201471	0.233162
9.999070	0.204128	0.254691
10.126000	0.203862	0.237915
10.248900	0.202476	0.224483
10.376200	0.206087	0.226487
10.498800	0.211900	0.222533
10.626300	0.211989	0.211369
10.748700	0.210986	0.211719
10.876300	0.213348	0.217941
10.998700	0.219717	0.238596
11.126300	0.221826	0.217939
11.248800	0.219755	0.205167
11.376200	0.220577	0.221874
11.498900	0.225562	0.222283
11.626100	0.227707	0.211656
11.749000	0.228721	0.213921
11.875900	0.229998	0.205593
11.999200	0.233758	0.222642
12.125700	0.235275	0.201731
12.249400	0.235762	0.219472
12.375400	0.239298	0.211186
12.499700	0.241492	0.226643
12.625200	0.242545	0.194921
12.750000	0.244235	0.225918
12.874900	0.250328	0.210380
13.000200	0.254734	0.213035
13.124600	0.251711	0.219251
13.250500	0.250057	0.212710
13.374400	0.251609	0.210286
13.500800	0.255025	0.208862
13.624100	0.256725	0.213727
13.751000	0.260135	0.203548
13.874000	0.266538	0.243211
14.001100	0.267168	0.209145
14.123800	0.262192	0.213660
14.251200	0.260898	0.218866
14.373700	0.266261	0.202382
14.501300	0.271512	0.191516
14.623700	0.271785	0.215371
14.751300	0.273478	0.204776
14.873700	0.277114	0.215612
15.001200	0.277819	0.217608
15.123800	0.275540	0.215258
15.251100	0.276225	0.210807
15.373900	0.282003	0.219377
15.501000	0.285248	0.203436
15.624100	0.286054	0.202810
15.750800	0.287191	0.219056
15.874400	0.289890	0.204642
16.000500	0.290087	0.217821
16.124600	0.290088	0.178858
16.250300	0.292010	0.234218
16.374900	0.295713	0.187186
16.500000	0.297073	0.195155
16.625100	0.298831	0.193286
16.749700	0.302652	0.236751
16.875400	0.303719	0.200332
16.999500	0.303510	0.215741
17.125700	0.303148	0.183512
17.249200	0.308979	0.202719
17.375900	0.313054	0.179094
17.499000	0.311984	0.173522
17.626100	0.311247	0.186302
17.748900	0.314394	0.200288
17.876200	0.317500	0.191308
17.998800	0.321301	0.211128
18.126300	0.327143	0.209675
18.248700	0.327350	0.199910
18.376300	0.320191	0.186591
18.498700	0.317085	0.182569
18.626300	0.327391	0.212470
18.748800	0.341569	0.223968
18.876200	0.341748	0.205555
18.998900	0.330320	0.205117
19.126000	0.326356	0.200325
19.249100	0.333976	0.205781
19.375800	0.341946	0.175475
19.499300	0.341757	0.223231
19.625600	0.339262	0.192308
19.749500	0.341785	0.208536
19.875400	0.343740	0.201043
19.999800	0.345866	0.212488
20.125100	0.348256	0.189806
20.250000	0.347906	0.207370
20.374800	0.345707	0.178316
20.500300	0.347243	0.222492
20.624600	0.355821	0.203527
20.750600	0.361907	0.222481
20.874300	0.359433	0.205101
21.000800	0.353387	0.186638
21.124100	0.355037	0.192863
21.251000	0.359986	0.194066
21.373900	0.362448	0.186423
21.501200	0.365131	0.216354
21.623800	0.370857	0.197527
21.751300	0.371195	0.184173
21.873700	0.364291	0.203704
22.001300	0.363529	0.213624
22.123700	0.370945	0.178389
22.251300	0.379016	0.182360
22.373700	0.378486	0.177069
22.501200	0.378083	0.185550
22.623800	0.382461	0.184648
22.751100	0.385510	0.186217
22.874000	0.384347	0.183331
23.000900	0.382611	0.192271
23.124200	0.386153	0.181984
23.250700	0.390817	0.186663
23.374400	0.393417	0.188371
23.500500	0.398308	0.190606
23.624700	0.401783	0.211547
23.750200	0.400821	0.220826
23.874900	0.395231	0.175215
23.999900	0.398460	0.209158
24.125200	0.403982	0.200411
24.249700	0.408600	0.185507
24.375500	0.409618	0.166779
24.499400	0.413447	0.207794
24.625700	0.414676	0.218625
24.749200	0.407177	0.192896
